[LOG] System::create                           : Header version = 2.00.07. Current version = 2.00.07.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata (nil).
[LOG] SystemI::init                            : Initialize version=20007 (107206), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD PulseAudio Output'
[LOG] OutputPulseAudio::registerLib            : Loaded PulseAudio version 14.2.0.
[LOG] OutputPulseAudio::enumOutput             : Found output device NAME:alsa_output.pci-0000_2f_00.4.iec958-stereo DESC:Starship/Matisse HD Audio Controller Digital Stereo (IEC958) CHANNELS:2 RATE:44100.
[LOG] OutputPulseAudio::enumOutput             : Found output device NAME:alsa_output.pci-0000_2d_00.1.hdmi-stereo-extra5 DESC:Ellesmere HDMI Audio [Radeon RX 470/480 / 570/580/590] Digital Stereo (HDMI 6) CHANNELS:2 RATE:48000.
[LOG] OutputPulseAudio::enumInput              : Found input device NAME:alsa_output.pci-0000_2f_00.4.iec958-stereo.monitor DESC:Monitor of Starship/Matisse HD Audio Controller Digital Stereo (IEC958) CHANNELS:2 RATE:44100.
[LOG] OutputPulseAudio::enumInput              : Found input device NAME:alsa_output.pci-0000_2d_00.1.hdmi-stereo-extra5.monitor DESC:Monitor of Ellesmere HDMI Audio [Radeon RX 470/480 / 570/580/590] Digital Stereo (HDMI 6) CHANNELS:2 RATE:48000.
[LOG] Thread::initThread                       : Init FMOD stream thread. Priority: 2, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[WRN] FMOD_OS_Thread_Callback                  : Cannot set real-time thread priorities due to insufficient privileges
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 81920, Semaphore: Yes, Sleep Time: 0, Looping: Yes.
[WRN] FMOD_OS_Thread_Callback                  : Cannot set real-time thread priorities due to insufficient privileges
[LOG] AsyncManager::init                       : manager 0x55bdc75c4568 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Priority: 0, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[WRN] FMOD_OS_Thread_Callback                  : Cannot set real-time thread priorities due to insufficient privileges
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Priority: 0, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[WRN] FMOD_OS_Thread_Callback                  : Cannot set real-time thread priorities due to insufficient privileges
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 6
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] SystemI::close                           : Closed.
